sceneId,inputfile,labelfile
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\531.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\531.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\351.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\351.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\1040.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\1040.png
0003_00,C:\Users\ji\Documents\ScanNet-master\data\scene0003_00\2d-rendered-RGB\1322.png,C:\Users\ji\Documents\ScanNet-master\data\scene0003_00\label\1322.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\1802.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\1802.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\1010.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\1010.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\2276.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\2276.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\775.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\775.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\3997.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\3997.png
0001_00,C:\Users\ji\Documents\ScanNet-master\data\scene0001_00\2d-rendered-RGB\551.png,C:\Users\ji\Documents\ScanNet-master\data\scene0001_00\label\551.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\1370.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\1370.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\4551.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\4551.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\724.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\724.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\673.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\673.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\2311.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\2311.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\5574.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\5574.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\2452.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\2452.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\3494.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\3494.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\735.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\735.png
0003_00,C:\Users\ji\Documents\ScanNet-master\data\scene0003_00\2d-rendered-RGB\316.png,C:\Users\ji\Documents\ScanNet-master\data\scene0003_00\label\316.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\517.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\517.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\5332.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\5332.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\5098.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\5098.png
0002_00,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\2d-rendered-RGB\1426.png,C:\Users\ji\Documents\ScanNet-master\data\scene0002_00\label\1426.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\3720.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\3720.png
0003_00,C:\Users\ji\Documents\ScanNet-master\data\scene0003_00\2d-rendered-RGB\1164.png,C:\Users\ji\Documents\ScanNet-master\data\scene0003_00\label\1164.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\3755.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\3755.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\5086.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\5086.png
